Datetime,time,std_realpower,std_ust_predpower,std_st_predpower,std_mt_predpower,Load factor
2022-12-30,2:45:00,0.804764017,0.891341377,0.829959191,0.961178141,0.8
2022-12-30,2:30:00,0.729045422,0.871380412,0.828446593,0.959927253,0.73
2022-12-30,2:15:00,0.691226047,0.844495209,0.829661994,0.952435238,0.69
2022-12-30,2:00:00,0.697165543,0.814265436,0.831183463,0.961178141,0.7
2022-12-30,1:45:00,0.731862136,0.802195706,0.850013307,0.949773776,0.73
2022-12-30,1:30:00,0.659164301,0.792636622,0.849241483,0.944056068,0.66
2022-12-30,1:15:00,0.631179028,0.789101313,0.854080908,0.943301987,0.63
2022-12-30,1:00:00,0.657780341,0.78672374,0.856702449,0.943182221,0.66
2022-12-30,0:45:00,0.756698013,0.908170688,0.871446948,0.945147268,0.76
2022-12-30,0:30:00,0.830447126,0.917272889,0.883081973,0.947227644,0.83
2022-12-30,0:15:00,0.904533357,0.92638396,0.896819553,0.94464159,0.9
2022-12-30,0:00:00,0.914185593,0.93565472,0.902688077,0.945382363,0.91
2022-12-29,23:45:00,0.888249645,0.939154542,0.93113467,0.946065472,0.89
2022-12-29,23:30:00,0.877461852,0.945306955,0.93321061,0.948673705,0.88
2022-12-29,23:15:00,0.892104329,0.948651526,0.93784599,0.947205465,0.89
2022-12-29,23:00:00,0.937442335,0.951046842,0.943120121,0.949161639,0.94
2022-12-29,22:45:00,0.960277679,0.953144961,0.947489354,0.950323811,0.96
2022-12-29,22:30:00,0.972622427,0.9540055,0.949449965,0.953344571,0.97
2022-12-29,22:15:00,0.974055181,0.954861604,0.949711675,0.960650284,0.97
2022-12-29,22:00:00,0.972919624,0.954928141,0.951933996,0.961178141,0.97
2022-12-29,21:45:00,0.969668204,0.956409688,0.954276082,0.961102732,0.97
2022-12-29,21:30:00,0.973509581,0.957687189,0.954156317,0.96022445,0.97
2022-12-29,21:15:00,0.966643009,0.957851313,0.956316537,0.951144429,0.97
2022-12-29,21:00:00,0.964895316,0.95844127,0.959044535,0.952825586,0.96
2022-12-29,20:45:00,0.956547197,0.960517211,0.960157913,0.948527324,0.96
2022-12-29,20:30:00,0.958024308,0.960783357,0.959882896,0.947569198,0.96
2022-12-29,20:15:00,0.964176721,0.960681334,0.960264372,0.950385912,0.96
2022-12-29,20:00:00,0.968293116,0.960015969,0.960273243,0.959199787,0.97
2022-12-29,19:45:00,0.9653522,0.960752307,0.960534954,0.961178141,0.97
2022-12-29,19:30:00,0.970821505,0.960095813,0.96065472,0.961178141,0.97
2022-12-29,19:15:00,0.969579489,0.958822747,0.959918382,0.961178141,0.97
2022-12-29,19:00:00,0.970990064,0.958365862,0.960326473,0.961178141,0.97
2022-12-29,18:45:00,0.968581441,0.960858765,0.96048616,0.961178141,0.97
2022-12-29,18:30:00,0.95921753,0.9608011,0.960623669,0.961178141,0.96
2022-12-29,18:15:00,0.95544269,0.960472853,0.960721256,0.953956707,0.96
2022-12-29,18:00:00,0.956542761,0.96083215,0.960645848,0.961178141,0.96
2022-12-29,17:45:00,0.96157736,0.960375266,0.960379702,0.961178141,0.96
2022-12-29,17:30:00,0.968625798,0.960282115,0.960858765,0.961178141,0.97
2022-12-29,17:15:00,0.966399042,0.96053939,0.960792229,0.961027324,0.97
2022-12-29,17:00:00,0.965990951,0.96077005,0.960703513,0.961178141,0.97
2022-12-29,16:45:00,0.960552697,0.96068577,0.96088538,0.96068577,0.96
2022-12-29,16:30:00,0.966576473,0.960872072,0.960641412,0.958778389,0.97
2022-12-29,16:15:00,0.964895316,0.960938609,0.960672463,0.951517033,0.96
2022-12-29,16:00:00,0.954169624,0.960774485,0.960761178,0.960632541,0.95
2022-12-29,15:45:00,0.924387864,0.960588183,0.960982967,0.959328424,0.92
2022-12-29,15:30:00,0.953606281,0.960668027,0.960566004,0.96103176,0.95
2022-12-29,15:15:00,0.905753194,0.960858765,0.960938609,0.961178141,0.91
2022-12-29,15:00:00,0.956875444,0.960872072,0.960508339,0.961178141,0.96
2022-12-29,14:45:00,0.944246806,0.9608011,0.960818843,0.961178141,0.94
2022-12-29,14:30:00,0.932012952,0.960668027,0.960925302,0.961178141,0.93
2022-12-29,14:15:00,0.937539922,0.960574876,0.960880944,0.961178141,0.94
2022-12-29,14:00:00,0.954555536,0.960361959,0.960894251,0.961178141,0.95
2022-12-29,13:45:00,0.966798261,0.959599006,0.960375266,0.961178141,0.97
2022-12-29,13:30:00,0.942964869,0.957922285,0.960818843,0.961178141,0.94
2022-12-29,13:15:00,0.931183463,0.957367814,0.960823279,0.961178141,0.93
2022-12-29,13:00:00,0.930513662,0.958006565,0.960756742,0.961102732,0.93
2022-12-29,12:45:00,0.934785309,0.960410752,0.960818843,0.961009581,0.93
2022-12-29,12:30:00,0.942898332,0.960357523,0.960335344,0.961178141,0.94
2022-12-29,12:15:00,0.954826118,0.960526082,0.960672463,0.961178141,0.95
2022-12-29,12:00:00,0.940733676,0.960437367,0.960867637,0.961178141,0.94
2022-12-29,11:45:00,0.945856991,0.960264372,0.960876508,0.961178141,0.95
2022-12-29,11:30:00,0.956081441,0.960645848,0.960730128,0.961178141,0.96
2022-12-29,11:15:00,0.929852732,0.960477289,0.960730128,0.961178141,0.93
2022-12-29,11:00:00,0.954710788,0.960126863,0.960756742,0.961178141,0.95
2022-12-29,10:45:00,0.959643364,0.960508339,0.960712385,0.961178141,0.96
2022-12-29,10:30:00,0.963786373,0.960375266,0.960747871,0.961178141,0.96
2022-12-29,10:15:00,0.959501419,0.960299858,0.960659155,0.961178141,0.96
2022-12-29,10:00:00,0.962597587,0.96022445,0.960841022,0.961178141,0.96
2022-12-29,9:45:00,0.965587296,0.960632541,0.960574876,0.961178141,0.97
2022-12-29,9:30:00,0.971446948,0.960597055,0.957842441,0.961178141,0.97
2022-12-29,9:15:00,0.96918027,0.95774929,0.960530518,0.961178141,0.97
2022-12-29,9:00:00,0.972001419,0.961178141,0.960987402,0.961178141,0.97
2022-12-29,8:45:00,0.96967264,0.959936125,0.959177608,0.960974095,0.97
2022-12-29,8:30:00,0.970701739,0.961178141,0.960610362,0.961178141,0.97
2022-12-29,8:15:00,0.969637154,0.960969659,0.958636444,0.961178141,0.97
2022-12-29,8:00:00,0.970896913,0.959590135,0.958818311,0.961178141,0.97
2022-12-29,7:45:00,0.96909599,0.960095813,0.960393009,0.961178141,0.97
2022-12-29,7:30:00,0.970683996,0.956427431,0.961178141,0.961178141,0.97
2022-12-29,7:15:00,0.967658801,0.961178141,0.960069198,0.961178141,0.97
2022-12-29,7:00:00,0.972444996,0.958055358,0.960357523,0.961178141,0.97
2022-12-29,6:45:00,0.969313343,0.960765614,0.958472321,0.961178141,0.97
2022-12-29,6:30:00,0.970772711,0.961178141,0.959097764,0.961178141,0.97
2022-12-29,6:15:00,0.968683463,0.960730128,0.960761178,0.961178141,0.97
2022-12-29,6:00:00,0.972742193,0.958529986,0.959643364,0.961178141,0.97
2022-12-29,5:45:00,0.969047197,0.961178141,0.961178141,0.961178141,0.97
2022-12-29,5:30:00,0.973079312,0.958782825,0.959780873,0.961178141,0.97
2022-12-29,5:15:00,0.968590312,0.960335344,0.959341732,0.961178141,0.97
2022-12-29,5:00:00,0.969841199,0.960463982,0.958308197,0.961178141,0.97
2022-12-29,4:45:00,0.971327182,0.959545777,0.960206707,0.961178141,0.97
2022-12-29,4:30:00,0.970426721,0.958454578,0.9602555,0.961178141,0.97
2022-12-29,4:15:00,0.97110983,0.961093861,0.959896203,0.961178141,0.97
2022-12-29,4:00:00,0.972214336,0.960854329,0.960858765,0.961178141,0.97
2022-12-29,3:45:00,0.970577537,0.960188964,0.960809972,0.961178141,0.97
2022-12-29,3:30:00,0.972436125,0.960259936,0.958348119,0.961178141,0.97
2022-12-29,3:15:00,0.959142122,0.957239177,0.961076118,0.961178141,0.96
2022-12-29,3:00:00,0.963214159,0.959789744,0.957647268,0.961178141,0.96
2022-12-29,2:45:00,0.96825763,0.959825231,0.961080554,0.961178141,0.97
2022-12-29,2:30:00,0.968692335,0.960836586,0.959740951,0.961178141,0.97
2022-12-29,2:15:00,0.969685947,0.961102732,0.958920334,0.961178141,0.97
2022-12-29,2:00:00,0.966199432,0.960974095,0.959031228,0.961178141,0.97
2022-12-29,1:45:00,0.965250177,0.960313165,0.959261888,0.961178141,0.97
2022-12-29,1:30:00,0.96739709,0.960778921,0.961178141,0.961178141,0.97
2022-12-29,1:15:00,0.968377395,0.9608011,0.960441803,0.961178141,0.97
2022-12-29,1:00:00,0.969517388,0.960743435,0.961178141,0.961178141,0.97
2022-12-29,0:45:00,0.968031405,0.961076118,0.95976313,0.961178141,0.97
2022-12-29,0:30:00,0.96855039,0.957713804,0.958583215,0.961178141,0.97
2022-12-29,0:15:00,0.96808907,0.959426011,0.960384138,0.961178141,0.97
