Datetime,time,Measured & Upscaled,Most recent forecast,Day Ahead 11AM forecast,Day-ahead 6PM forecast,Week-ahead forecast,Monitored capacity,Load factor,Decremental bid Indicator
2022-6-8,15:15:00,1504.92,1691.45,1864.72,1948.37,181.54,2254.4,0.67,''
2022-6-8,15:00:00,1273.65,1687.17,1824.68,1918.92,185.52,2254.4,0.56,''
2022-6-8,14:45:00,1189.75,1608.76,1792.56,1883.97,185.58,2254.4,0.53,''
2022-6-8,14:30:00,1308.87,1506.56,1760.54,1856.44,185.83,2254.4,0.58,''
2022-6-8,14:15:00,1233.35,1411.45,1726.55,1805.32,181.9,2254.4,0.55,''
2022-6-8,14:00:00,1226.6,1312.59,1682.33,1751.44,171.5,2254.4,0.54,''
2022-6-8,13:45:00,1323.38,1665.26,1648.57,1718.96,167.42,2254.4,0.59,''
2022-6-8,13:30:00,1219.75,1633.4,1643.56,1726.46,163.39,2254.4,0.54,''
2022-6-8,13:15:00,1014.84,1601.71,1636.56,1726.8,162.92,2254.4,0.45,''
2022-6-8,13:00:00,1012.86,1566.19,1617.57,1699.91,172.96,2254.4,0.45,''
2022-6-8,12:45:00,1118.13,1568.26,1626.81,1706.1,183.68,2254.4,0.5,''
2022-6-8,12:30:00,1116.25,1560.47,1612.34,1701.29,177.3,2254.4,0.5,''
2022-6-8,12:15:00,1083,1550.29,1580.6,1707.66,158.56,2254.4,0.48,''
2022-6-8,12:00:00,1188.57,1545.91,1562.68,1703.41,166.01,2254.4,0.53,''
2022-6-8,11:45:00,1269.41,1540.24,1554.54,1680.31,178.62,2254.4,0.56,''
2022-6-8,11:30:00,1258.21,1490.9,1549.07,1667.35,190.71,2254.4,0.56,''
2022-6-8,11:15:00,1111.87,1469.42,1539.52,1677.66,201.85,2254.4,0.49,''
2022-6-8,11:00:00,1208.36,1468.9,1502.65,1666.92,216.78,2254.4,0.54,''
2022-6-8,10:45:00,1270.28,1446.61,1453.43,1658.98,231.35,2254.4,0.56,''
2022-6-8,10:30:00,1281.75,1430.36,1426.06,1650.27,244.08,2254.4,0.57,''
2022-6-8,10:15:00,1278.57,1404.23,1438.26,1646.42,253.27,2254.4,0.57,''
2022-6-8,10:00:00,1167.88,1381.15,1459.42,1634.09,251.09,2254.4,0.52,''
2022-6-8,9:45:00,964.59,1324.24,1469.55,1597.82,242.51,2254.4,0.43,''
2022-6-8,9:30:00,843.15,1262.5,1465.53,1546.03,233.8,2254.4,0.37,''
2022-6-8,9:15:00,732.08,1202.89,1416.55,1508.17,237.55,2254.4,0.32,''
2022-6-8,9:00:00,713.13,1141.49,1332.41,1458.11,238.49,2254.4,0.32,''
2022-6-8,8:45:00,633.6,1078.33,1295.76,1423.08,245.83,2254.4,0.28,''
2022-6-8,8:30:00,421.63,1015.08,1288.96,1405.45,262.33,2254.4,0.19,''
2022-6-8,8:15:00,393.59,955.32,1289.79,1375.09,279.45,2254.4,0.17,''
2022-6-8,8:00:00,359.96,901.98,1294.87,1347.44,283.12,2254.4,0.16,''
2022-6-8,7:45:00,261.75,919.51,1267.59,1316.95,296.25,2254.4,0.12,''
2022-6-8,7:30:00,253.27,893.76,1211.29,1266.72,299.49,2254.4,0.11,''
2022-6-8,7:15:00,302.53,900.11,1162.99,1209.58,302.18,2254.4,0.13,''
2022-6-8,7:00:00,270.12,883.93,1137,1161.72,297.83,2254.4,0.12,''
2022-6-8,6:45:00,256.33,830.09,1085.31,1049.55,283.34,2254.4,0.11,''
2022-6-8,6:30:00,265.8,785.99,1054.46,964.7,275.05,2254.4,0.12,''
2022-6-8,6:15:00,255.28,750.1,1027.21,890.66,264.04,2254.4,0.11,''
2022-6-8,6:00:00,304.65,724,973.83,813.56,256.62,2254.4,0.14,''
2022-6-8,5:45:00,307.3,715.94,917.57,804.65,249.55,2254.4,0.14,''
